No compte;Date;Operation
05000988455;14/07/2021;39,07
05000988455;19/06/2021;41,19
05000988455;13/06/2021;8,59
05000988455;04/07/2021;189,55
05000986022;06/06/2021;39,11
05000986022;03/07/2021;39,39
05000986022;20/07/2021;143,20
05000986022;14/07/2021;77,40
05000986022;16/07/2021;105,92
05000986022;03/07/2021;132,10
05000986022;28/06/2021;48,60
05000986022;14/06/2021;198,71
05000986022;27/06/2021;11,65
05000986022;22/07/2021;91,86
05000986022;28/06/2021;8,22
05000986022;05/06/2021;136,66
05000986022;04/06/2021;104,59
05000986022;20/07/2021;33,71
05000986022;21/06/2021;168,31
05000986022;15/06/2021;144,32
05000986022;23/06/2021;153,92
05000985705;13/07/2021;155,71
05000985705;03/06/2021;55,71
05000985705;12/06/2021;196,56
05000985705;02/06/2021;128,52
05000985705;30/06/2021;197,16
05000985705;28/06/2021;34,05
05000985705;07/06/2021;39,19
05000985705;18/07/2021;110,39
05000985705;10/06/2021;119,61
05000985705;16/06/2021;123,69
05000985705;10/06/2021;21,76
05000985705;21/06/2021;193,94
05000985705;24/06/2021;65,61
05000985705;05/07/2021;96,06
05000985705;02/06/2021;33,79
05000985705;06/07/2021;54,53
05000985705;19/06/2021;126,23
05000978297;02/06/2021;107,10
05000978297;14/06/2021;51,12
05000978297;11/06/2021;144,61
05000978297;03/07/2021;82,49
05000978297;16/07/2021;173,08
05000978297;24/06/2021;14,05
05000978297;10/06/2021;82,83
05000978297;30/07/2021;5,40
05000978297;03/07/2021;95,64
05000978297;06/07/2021;58,75
05000978297;13/07/2021;114,55
05000978297;29/06/2021;176,93
05000978297;26/07/2021;192,70
05000978297;07/06/2021;76,50
05000978297;29/07/2021;20,78
05000978297;03/06/2021;65,57
05000978297;20/07/2021;11,31
05000978297;04/06/2021;75,36
05000978297;01/06/2021;131,85
05000978297;25/07/2021;12,63
05000978297;23/06/2021;70,68
05000976335;19/06/2021;189,82
05000976335;25/06/2021;163,77
05000976335;31/07/2021;24,90
05000976335;30/06/2021;30,86
05000976335;08/06/2021;66,14
05000976335;27/06/2021;115,11
05000976335;14/07/2021;94,02
05000976335;19/07/2021;49,34
05000976335;31/07/2021;32,52
05000976335;05/06/2021;167,38
05000976335;25/06/2021;147,23
05000976335;02/07/2021;28,37
05000976335;02/06/2021;58,00
05000976335;15/06/2021;133,61
05000976335;30/07/2021;57,65
05000976335;05/07/2021;170,32
05000976335;04/06/2021;190,93
05000974551;08/07/2021;134,08
05000974551;18/06/2021;138,11
05000974551;13/06/2021;17,03
05000974551;06/07/2021;36,32
05000974551;04/07/2021;78,98
05000974551;14/07/2021;192,26
05000974551;07/07/2021;16,91
05000974551;05/06/2021;153,68
05000974551;06/07/2021;98,77
05000974551;01/07/2021;54,31
05000974551;01/06/2021;25,47
05000974551;27/06/2021;9,30
05000974551;14/07/2021;2,71
05000974551;02/07/2021;76,14
05000974551;12/06/2021;135,35
05000974551;10/07/2021;128,62
05000974551;05/06/2021;54,68
05000974551;04/07/2021;58,62
05000974551;18/07/2021;1,72
05000974551;07/06/2021;191,79
05000974551;03/07/2021;65,45
05000971814;08/07/2021;151,03
05000971814;16/07/2021;188,40
05000971814;23/07/2021;53,97
05000971814;11/07/2021;153,16
05000971814;18/07/2021;56,23
05000971814;29/06/2021;107,33
05000971814;30/07/2021;64,42
05000971814;11/07/2021;20,88
05000971814;02/07/2021;166,96
05000971814;11/07/2021;60,29
05000971814;05/06/2021;97,74
05000971814;14/06/2021;85,95
05000971814;18/07/2021;168,20
05000971814;26/07/2021;101,72
05000971814;19/06/2021;57,92
05000971814;16/07/2021;164,79
05000971814;12/06/2021;50,98
05000971814;30/06/2021;186,91
05000971814;02/06/2021;162,10
05000971814;13/07/2021;47,06
05000971814;26/06/2021;8,24
05000971814;29/06/2021;69,01
05000971814;26/07/2021;153,37
05000971814;08/06/2021;143,43
05000971104;04/06/2021;150,18
05000971104;03/07/2021;65,62
05000971104;27/07/2021;158,86
05000971104;17/06/2021;153,98
05000971104;24/06/2021;6,52
05000971104;25/07/2021;10,66
05000971104;16/07/2021;39,35
05000971104;26/06/2021;178,33
05000971104;18/06/2021;15,76
05000971104;22/06/2021;9,43
05000971104;01/06/2021;127,32
05000966041;25/06/2021;105,57
05000966041;24/07/2021;186,51
05000966041;02/06/2021;77,52
05000966041;01/06/2021;45,58
05000966041;29/06/2021;158,36
05000966041;20/07/2021;127,71
05000966041;21/07/2021;169,55
05000966041;09/06/2021;22,85
05000966041;21/06/2021;198,87
05000966041;14/07/2021;34,89
05000966041;16/06/2021;18,37
05000966041;04/06/2021;182,52
05000966041;24/07/2021;113,43
05000966041;03/06/2021;195,72
05000966041;24/06/2021;34,72
05000966041;24/07/2021;59,58
05000966041;01/07/2021;100,62
05000966041;25/06/2021;112,09
05000966041;06/07/2021;33,14
05000966041;11/07/2021;1,28
05000966041;10/07/2021;113,27
05000966041;10/06/2021;187,86
05000966041;12/07/2021;180,08
05000966041;01/07/2021;110,52
05000966041;18/07/2021;35,00
05000966041;04/07/2021;26,54
05000966041;04/07/2021;81,78
05000966041;14/06/2021;60,03
05000966041;25/07/2021;167,44
05000966041;09/07/2021;160,60
05000966041;06/07/2021;17,70
05000966041;31/07/2021;32,46
05000963883;17/06/2021;47,92
05000963883;03/07/2021;50,58
05000963883;06/07/2021;45,70
05000963883;15/07/2021;74,66
05000963883;09/06/2021;123,04
05000963883;02/07/2021;173,39
05000963883;18/06/2021;114,91
05000963883;04/06/2021;1,40
05000963883;02/06/2021;12,52
05000963883;18/07/2021;196,07
05000963883;12/07/2021;19,39
05000963883;23/07/2021;88,00
05000963883;15/07/2021;54,93
05000963883;09/07/2021;179,95
05000963883;11/06/2021;191,13
05000963883;31/07/2021;147,04
05000963883;07/07/2021;135,10
05000963883;06/07/2021;189,94
05000963883;15/07/2021;60,50
05000963883;30/06/2021;22,06
05000963883;23/06/2021;151,48
05000963883;25/06/2021;194,10
05000963608;01/06/2021;35,34
05000963608;20/07/2021;114,04
05000963608;11/07/2021;25,36
05000963608;25/06/2021;147,62
05000963608;01/06/2021;104,51
05000963608;26/06/2021;69,12
05000963608;18/06/2021;146,05
05000963608;22/07/2021;189,78
05000963608;20/07/2021;112,00
05000963608;25/06/2021;140,91
05000963608;01/07/2021;53,51
05000963608;05/07/2021;27,15
05000963608;20/07/2021;47,63
05000963608;22/06/2021;97,27
05000963608;28/06/2021;195,97
05000963608;11/06/2021;155,95
05000963608;22/07/2021;93,66
05000963608;12/06/2021;116,44
05000963608;30/06/2021;123,57
05000963608;17/07/2021;11,81
05000963608;11/06/2021;24,89
05000963608;15/07/2021;94,55
05000963608;08/07/2021;83,78
05000963608;12/07/2021;161,90
05000963608;01/06/2021;93,80
05000963608;21/06/2021;193,62
05000963608;06/06/2021;192,62
05000963608;17/06/2021;140,54
05000963608;17/06/2021;118,66
05000963608;28/07/2021;122,54
05000959329;11/07/2021;98,53
05000959329;14/07/2021;85,15
05000959329;12/06/2021;165,72
05000959329;01/07/2021;55,47
05000959329;19/06/2021;182,40
05000959329;27/07/2021;129,68
05000959329;07/06/2021;185,60
05000959329;28/07/2021;11,51
05000959329;05/06/2021;166,57
05000959329;29/06/2021;85,06
05000959329;11/07/2021;143,52
05000959329;22/06/2021;127,01
05000959329;28/07/2021;80,79
05000959329;12/07/2021;197,01
05000959329;30/06/2021;126,33
05000959329;23/07/2021;15,30
05000959329;09/06/2021;132,44
05000959329;04/07/2021;79,27
05000959329;12/06/2021;71,24
05000959329;01/07/2021;159,86
05000959329;06/07/2021;90,75
05000955836;11/06/2021;131,80
05000955836;18/07/2021;52,55
05000955836;15/06/2021;129,23
05000955836;19/06/2021;19,27
05000955836;15/06/2021;172,23
05000955836;30/07/2021;111,58
05000955836;24/06/2021;124,68
05000955836;15/07/2021;194,83
05000955836;20/06/2021;104,41
05000955836;16/07/2021;174,12
05000955836;12/07/2021;199,50
05000955836;20/07/2021;71,77
05000955836;13/07/2021;25,59
05000955836;04/07/2021;63,60
05000955836;05/06/2021;103,12
05000955836;01/07/2021;195,39
05000955836;26/06/2021;68,91
05000951690;06/07/2021;177,49
05000951690;14/06/2021;187,68
05000951690;13/07/2021;90,05
05000951690;06/06/2021;9,76
05000951690;27/07/2021;45,53
05000951690;11/06/2021;133,04
05000951690;22/06/2021;86,55
05000951690;09/06/2021;41,70
05000951690;15/06/2021;176,40
05000951690;08/07/2021;6,31
05000951690;18/06/2021;96,30
05000951690;06/06/2021;63,62
05000951690;14/07/2021;172,24
05000951690;02/06/2021;29,93
05000951690;04/07/2021;159,15
05000951690;17/06/2021;43,03
05000951690;10/07/2021;24,28
05000951690;24/06/2021;170,00
05000951690;11/07/2021;38,39
05000951690;15/06/2021;38,00
05000951690;26/07/2021;74,20
05000951690;23/07/2021;32,32
05000951690;05/06/2021;19,83
05000951474;06/06/2021;99,31
05000951474;29/06/2021;187,77
05000951474;02/07/2021;93,83
05000951474;12/06/2021;135,77
05000951474;01/06/2021;49,93
05000951474;14/07/2021;75,83
05000951474;23/06/2021;164,38
05000951474;16/07/2021;100,09
05000951474;02/07/2021;118,71
05000951474;11/06/2021;130,38
05000951474;14/06/2021;107,43
05000951474;09/06/2021;65,80
05000951474;04/06/2021;32,53
05000951474;26/06/2021;145,12
05000951474;16/06/2021;198,05
05000951474;28/07/2021;87,46
05000951474;08/07/2021;6,12
05000951474;07/07/2021;25,21
05000951474;10/07/2021;163,67
05000951474;23/07/2021;15,66
05000951474;18/07/2021;52,61
05000951474;10/07/2021;123,55
05000951474;05/07/2021;166,59
05000951474;29/07/2021;139,05
05000951474;17/07/2021;188,27
05000948389;28/06/2021;13,77
05000948389;20/06/2021;198,03
05000948389;29/06/2021;169,91
05000948389;08/06/2021;171,04
05000948389;22/06/2021;191,42
05000948389;11/07/2021;187,87
05000948389;11/06/2021;150,22
05000948389;15/07/2021;60,84
05000948389;01/06/2021;131,53
05000948389;25/07/2021;173,19
05000948389;25/06/2021;162,51
05000948389;23/07/2021;8,30
05000948389;16/06/2021;44,83
05000948389;10/06/2021;75,04
05000948389;16/06/2021;66,42
05000948389;24/07/2021;43,44
05000946721;09/06/2021;183,21
05000946721;12/07/2021;129,22
05000946721;01/06/2021;65,22
05000946721;03/07/2021;170,10
05000946721;30/06/2021;131,56
05000946721;03/07/2021;119,25
05000946721;10/07/2021;120,60
05000946721;20/07/2021;95,80
05000946721;08/07/2021;56,59
05000946721;07/07/2021;185,36
05000946721;23/07/2021;185,50
05000946721;08/07/2021;78,11
05000946721;09/07/2021;101,08
05000946721;12/06/2021;153,05
05000946721;26/06/2021;52,12
05000946721;18/06/2021;51,49
05000946721;22/07/2021;37,04
05000946721;21/06/2021;46,50
05000945794;29/07/2021;108,17
05000945794;24/07/2021;189,26
05000945794;10/06/2021;94,97
05000945794;22/06/2021;174,76
05000945794;16/07/2021;145,63
05000945794;10/07/2021;18,99
05000945794;26/07/2021;32,45
05000945794;14/07/2021;72,51
05000945794;26/06/2021;186,22
05000945794;24/06/2021;75,18
05000945794;26/07/2021;170,06
05000945794;04/07/2021;44,27
05000945794;18/07/2021;192,32
05000945794;06/07/2021;125,95
05000945794;30/07/2021;73,52
05000945794;08/07/2021;181,48
05000945794;18/06/2021;180,97
05000945794;30/07/2021;146,90
05000945187;08/06/2021;130,91
05000945187;25/07/2021;126,83
05000945187;17/06/2021;174,67
05000945187;10/06/2021;187,27
05000945187;22/07/2021;26,39
05000945187;01/06/2021;193,90
05000945187;01/06/2021;102,63
05000945187;17/07/2021;96,40
05000945187;17/07/2021;95,76
05000945187;14/06/2021;49,28
05000945187;21/07/2021;29,09
05000945187;18/07/2021;27,94
05000945187;30/07/2021;166,99
05000945187;04/06/2021;17,85
05000945187;26/07/2021;54,83
05000945187;15/07/2021;178,64
05000945187;26/07/2021;82,93
05000945187;18/06/2021;168,13
05000945187;03/06/2021;199,88
05000942142;01/06/2021;139,38
05000942142;23/06/2021;195,51
05000942142;17/07/2021;79,68
05000942142;27/06/2021;81,43
05000942142;14/07/2021;8,18
05000942142;30/06/2021;95,27
05000942142;05/06/2021;108,88
05000942142;04/07/2021;80,79
05000942142;07/07/2021;22,20
05000942142;15/07/2021;139,32
05000942142;28/07/2021;152,89
05000942142;24/06/2021;149,93
05000942142;10/06/2021;151,60
05000942142;31/07/2021;158,24
05000942142;10/06/2021;193,41
05000942142;22/07/2021;33,99
05000942142;26/07/2021;92,14
05000942142;15/06/2021;164,82
05000942142;28/06/2021;98,73
05000942142;03/06/2021;30,49
05000942142;26/06/2021;164,94
05000942142;20/07/2021;68,44
05000942142;15/06/2021;41,23
05000942142;21/06/2021;47,11
05000940338;31/07/2021;183,50
05000940338;26/06/2021;52,25
05000940338;20/07/2021;108,17
05000940338;27/07/2021;24,97
05000940338;01/06/2021;155,71
05000940338;28/06/2021;194,39
05000940338;19/06/2021;96,26
05000940338;17/06/2021;169,95
05000940338;02/07/2021;86,70
05000940338;20/07/2021;189,19
05000940338;13/06/2021;85,44
05000940338;03/06/2021;183,35
05000940338;29/06/2021;188,82
05000940338;29/06/2021;7,05
05000939384;08/06/2021;165,11
05000939384;18/06/2021;151,28
05000939384;13/06/2021;144,12
05000939384;21/07/2021;122,31
05000939384;25/06/2021;101,66
05000939384;17/07/2021;103,95
05000939384;04/06/2021;38,50
05000939384;11/06/2021;40,29
05000939384;23/06/2021;148,75
05000939384;10/07/2021;163,33
05000939384;21/07/2021;45,36
05000939384;14/07/2021;63,14
05000939384;30/07/2021;152,99
05000939384;21/07/2021;82,20
05000939384;17/07/2021;165,85
05000939384;07/06/2021;107,75
05000939384;10/07/2021;28,26
05000939384;15/06/2021;20,72
05000939384;16/06/2021;194,30
05000939384;18/06/2021;38,10
05000939384;14/06/2021;98,97
05000937984;01/06/2021;9,49
05000937984;09/06/2021;52,19
05000937984;19/07/2021;128,31
05000937984;07/06/2021;173,89
05000937984;07/06/2021;100,38
05000937984;05/06/2021;155,28
05000937984;02/07/2021;3,74
05000937984;01/06/2021;189,71
05000937984;15/06/2021;127,09
05000937984;21/06/2021;105,89
05000937984;06/07/2021;100,64
05000937984;17/07/2021;154,22
05000937984;22/06/2021;79,23
05000937984;21/06/2021;167,62
05000937984;25/06/2021;52,21
05000937984;29/06/2021;19,90
05000937984;15/07/2021;106,14
05000937984;26/06/2021;172,79
05000934871;25/06/2021;52,28
05000934871;14/07/2021;151,22
05000934871;30/06/2021;133,00
05000934871;31/07/2021;191,29
05000934871;16/07/2021;48,99
05000934871;14/06/2021;42,69
05000934871;12/06/2021;112,75
05000934871;07/06/2021;24,45
05000934871;24/06/2021;151,47
05000934871;01/06/2021;131,34
05000934871;11/07/2021;67,72
05000934871;25/06/2021;11,84
05000934871;21/06/2021;148,88
05000934871;28/06/2021;108,50
05000934871;29/07/2021;179,10
05000934871;20/06/2021;95,06
05000934871;25/07/2021;44,74
05000934871;01/07/2021;126,89
05000934871;07/06/2021;170,80
05000934871;10/07/2021;173,34
05000934871;11/07/2021;137,76
05000934871;21/07/2021;55,02
05000934871;05/06/2021;83,11
05000934871;20/07/2021;194,12
05000931699;03/07/2021;103,89
05000931699;19/06/2021;123,58
05000931699;02/06/2021;51,82
05000931699;04/07/2021;56,99
05000931699;28/06/2021;28,73
05000931699;08/06/2021;6,08
05000931699;07/07/2021;14,17
05000931699;19/07/2021;99,51
05000931699;22/07/2021;172,08
05000931699;09/07/2021;33,20
05000931699;04/07/2021;179,92
05000931699;04/06/2021;86,04
05000931699;07/07/2021;117,87
05000931699;17/06/2021;83,59
05000931699;05/07/2021;155,12
05000931699;26/07/2021;82,53
05000931699;15/07/2021;139,37
05000931699;29/06/2021;155,22
05000930542;31/07/2021;73,84
05000930542;05/07/2021;127,94
05000930542;17/07/2021;75,13
05000930542;08/07/2021;92,29
05000930542;24/07/2021;31,37
05000930542;29/06/2021;30,97
05000930542;20/06/2021;172,01
05000930542;06/07/2021;72,13
05000930542;03/06/2021;175,25
05000930542;10/06/2021;149,36
05000930542;14/07/2021;186,35
05000930542;02/06/2021;86,94
05000930542;25/07/2021;143,17
05000930542;30/06/2021;1,97
05000930542;17/07/2021;51,46
05000930542;18/06/2021;198,23
05000930542;17/07/2021;50,09
05000930542;22/06/2021;154,99
05000930542;05/06/2021;76,00
05000930542;11/07/2021;155,16
05000930542;18/07/2021;65,43
05000930542;07/07/2021;39,85
05000928826;13/07/2021;157,48
05000928826;02/07/2021;6,40
05000928826;21/06/2021;121,97
05000928826;04/07/2021;157,49
05000928826;31/07/2021;121,66
05000928826;09/06/2021;68,10
05000928826;21/07/2021;134,63
05000928712;08/07/2021;28,03
05000928712;20/07/2021;181,92
05000928712;11/06/2021;8,00
05000928712;11/06/2021;137,91
05000928712;20/07/2021;47,07
05000928712;26/07/2021;13,29
05000928712;26/06/2021;101,03
05000928712;31/07/2021;103,29
05000928712;28/07/2021;89,94
05000928712;05/07/2021;81,64
05000928712;04/06/2021;189,06
05000928712;17/06/2021;31,67
05000928712;18/07/2021;26,39
05000928712;10/06/2021;115,26
05000928712;01/07/2021;5,32
05000928712;26/06/2021;136,00
05000928712;15/06/2021;185,96
05000928712;29/06/2021;196,31
05000928712;03/07/2021;1,93
05000928712;25/07/2021;122,92
05000928712;14/06/2021;140,12
05000928712;25/07/2021;2,01
05000928712;13/07/2021;43,33
05000928712;05/07/2021;33,20
05000928712;05/06/2021;47,26
05000928561;30/07/2021;54,91
05000928561;13/06/2021;147,06
05000928561;04/07/2021;23,38
05000928561;13/06/2021;105,59
05000928561;19/07/2021;194,48
05000928561;15/06/2021;169,67
05000928561;28/07/2021;81,45
05000928561;17/07/2021;175,50
05000928561;15/07/2021;6,08
05000928561;17/06/2021;181,56
05000928561;10/07/2021;103,87
05000928561;23/06/2021;13,95
05000928561;13/07/2021;156,81
05000928561;19/07/2021;122,38
05000928561;25/06/2021;149,31
05000928561;15/06/2021;178,81
05000928561;16/07/2021;130,65
05000928561;12/07/2021;35,79
05000928561;12/06/2021;47,91
05000928561;06/06/2021;128,64
05000928561;14/06/2021;45,04
05000928561;01/07/2021;96,95
05000928561;07/06/2021;191,71
05000928561;28/06/2021;194,32
05000928561;27/06/2021;123,34
05000928561;25/06/2021;48,84
05000928561;09/07/2021;186,05
05000928561;28/06/2021;2,47
05000928561;06/07/2021;42,13
05000928561;19/07/2021;110,34
05000928561;11/06/2021;19,24
05000928561;25/06/2021;20,38
05000927737;19/06/2021;162,48
05000927737;19/07/2021;74,38
05000927737;26/06/2021;171,60
05000927737;11/07/2021;155,86
05000927737;10/07/2021;148,45
05000927737;26/07/2021;145,20
05000927737;15/06/2021;28,86
05000927737;18/07/2021;50,16
05000927737;30/06/2021;48,05
05000927737;02/07/2021;28,72
05000927737;17/07/2021;170,11
05000927737;01/06/2021;99,45
05000927737;10/06/2021;107,99
05000927737;08/07/2021;78,14
05000927737;21/06/2021;85,26
05000927737;29/07/2021;18,52
05000927737;14/06/2021;76,10
05000927737;08/06/2021;72,37
05000927737;24/07/2021;112,33
05000927737;25/06/2021;174,87
05000927737;16/06/2021;177,30
05000927737;22/07/2021;47,17
05000927561;01/06/2021;28,96
05000927561;30/07/2021;16,08
05000927561;31/07/2021;99,13
05000927561;24/06/2021;120,38
05000927561;30/06/2021;189,04
05000927561;29/06/2021;125,73
05000927561;06/06/2021;187,32
05000927561;28/06/2021;32,10
05000927561;31/07/2021;51,59
05000927561;18/06/2021;10,34
05000927561;13/07/2021;120,68
05000927561;03/06/2021;44,26
05000927046;01/07/2021;52,70
05000927046;28/07/2021;144,11
05000927046;03/06/2021;124,62
05000927046;16/07/2021;183,50
05000927046;24/07/2021;175,49
05000927046;20/07/2021;49,22
05000927046;24/07/2021;32,42
05000927046;29/06/2021;56,12
05000927046;30/06/2021;184,30
05000927046;20/07/2021;173,15
05000927046;30/06/2021;28,17
05000927046;28/06/2021;29,29
05000927046;27/07/2021;142,40
05000927046;19/07/2021;158,76
05000927046;03/06/2021;191,19
05000927046;04/06/2021;169,74
05000927046;01/06/2021;184,74
05000927046;26/06/2021;138,53
05000927046;10/06/2021;96,92
05000927046;08/07/2021;55,68
05000926513;10/07/2021;119,24
05000926513;11/06/2021;169,59
05000926513;01/07/2021;118,80
05000926513;29/06/2021;106,57
05000926513;19/06/2021;94,25
05000926513;28/07/2021;12,26
05000926513;01/06/2021;142,99
05000926513;01/07/2021;176,00
05000926513;26/07/2021;117,87
05000926513;19/06/2021;31,25
05000926513;09/07/2021;197,90
05000926513;16/06/2021;121,05
05000926513;07/07/2021;2,80
05000926513;16/07/2021;9,25
05000926513;15/07/2021;80,25
05000926513;04/07/2021;46,45
05000926513;29/06/2021;177,77
05000926394;04/07/2021;160,04
05000926394;28/07/2021;91,38
05000926394;18/06/2021;24,49
05000926394;07/07/2021;112,24
05000926394;14/07/2021;86,17
05000926394;30/07/2021;94,02
05000926394;08/06/2021;125,56
05000926394;10/06/2021;131,87
05000926394;04/07/2021;190,91
05000926394;24/07/2021;58,98
05000926394;09/06/2021;63,73
05000926394;09/06/2021;179,67
05000926394;01/06/2021;89,31
05000926394;08/06/2021;104,43
05000926394;29/06/2021;42,13
05000926394;02/06/2021;47,70
05000926394;10/06/2021;169,32
05000926394;16/06/2021;55,26
05000924271;09/07/2021;60,38
05000924271;03/07/2021;160,66
05000924271;26/07/2021;144,31
05000924271;07/06/2021;199,01
05000924271;02/06/2021;160,40
05000924271;21/06/2021;16,62
05000924271;07/07/2021;141,71
05000924271;23/06/2021;149,60
05000924271;01/06/2021;39,52
05000924271;25/06/2021;19,29
05000924271;13/06/2021;181,58
05000924271;09/06/2021;197,86
05000924271;23/06/2021;150,32
05000924271;31/07/2021;93,40
05000924271;24/06/2021;108,16
05000924271;09/07/2021;192,13
05000924271;18/07/2021;167,09
05000924271;19/07/2021;5,23
05000921208;09/07/2021;164,46
05000921208;22/06/2021;41,71
05000921208;02/06/2021;136,97
05000921208;17/06/2021;3,81
05000921208;22/06/2021;88,13
05000921208;26/07/2021;107,20
05000921208;28/07/2021;76,24
05000921208;20/06/2021;87,68
05000921208;21/07/2021;106,09
05000921208;07/07/2021;43,83
05000921208;05/06/2021;1,22
05000921208;11/06/2021;113,07
05000921208;24/06/2021;43,28
05000921208;09/07/2021;139,33
05000921208;09/07/2021;146,67
05000921208;29/06/2021;196,01
05000921208;08/07/2021;131,92
05000921208;12/06/2021;124,19
05000921208;03/06/2021;102,43
05000921208;15/07/2021;81,95
05000921208;18/06/2021;66,17
05000921208;28/06/2021;31,71
05000921208;29/06/2021;69,25
05000921208;06/07/2021;140,04
05000921208;27/07/2021;176,60
05000921208;20/06/2021;84,61
05000921208;23/07/2021;84,75
05000920700;10/07/2021;113,21
05000920700;08/06/2021;101,33
05000920700;13/06/2021;174,22
05000920700;11/06/2021;3,21
05000920700;24/06/2021;159,31
05000920700;26/07/2021;68,54
05000920700;28/06/2021;113,07
05000920700;10/06/2021;147,06
05000920700;21/06/2021;149,52
05000920700;12/07/2021;101,32
05000920700;07/07/2021;174,28
05000920700;25/07/2021;163,45
05000920700;04/07/2021;67,16
05000920700;17/07/2021;114,83
05000920700;24/07/2021;85,96
05000920700;01/06/2021;182,05
05000920700;17/06/2021;30,62
05000920700;25/07/2021;58,38
05000920700;24/06/2021;154,99
05000920700;18/06/2021;140,08
05000920700;03/06/2021;29,71
05000918947;08/07/2021;152,75
05000918947;19/06/2021;153,08
05000918947;21/07/2021;78,12
05000918947;21/07/2021;127,66
05000918947;21/07/2021;64,73
05000918947;11/06/2021;97,27
05000918947;14/06/2021;49,50
05000918947;10/07/2021;162,93
05000918947;22/06/2021;135,04
05000918947;11/07/2021;171,03
05000918947;27/07/2021;144,27
05000918947;01/06/2021;31,38
05000918947;22/07/2021;28,60
05000918947;09/07/2021;67,25
05000918947;01/07/2021;36,96
05000918947;03/06/2021;198,42
05000918947;12/06/2021;145,30
05000918947;17/06/2021;20,92
05000918947;30/06/2021;184,25
05000917046;25/06/2021;158,31
05000917046;18/07/2021;193,06
05000917046;01/07/2021;187,67
05000917046;16/06/2021;11,37
05000917046;01/06/2021;139,15
05000917046;10/07/2021;154,39
05000917046;04/07/2021;47,28
05000917046;10/07/2021;93,75
05000917046;07/07/2021;189,72
05000917046;24/06/2021;115,91
05000917046;10/07/2021;87,01
05000917046;16/07/2021;77,12
05000917046;02/06/2021;138,86
05000917046;06/07/2021;77,41
05000917046;15/07/2021;164,63
05000917046;04/07/2021;189,33
05000917046;20/06/2021;60,40
05000917046;16/07/2021;171,04
05000917046;05/06/2021;43,87
05000917046;15/06/2021;11,75
05000917046;16/06/2021;186,14
05000917046;31/07/2021;107,10
05000917046;13/06/2021;125,96
05000917046;02/07/2021;21,52
05000917046;13/06/2021;95,60
05000917046;28/07/2021;47,70
05000917046;18/06/2021;110,81
05000917046;15/06/2021;186,94
05000917046;20/06/2021;126,42
05000916584;30/07/2021;65,64
05000916584;09/06/2021;120,90
05000916584;14/07/2021;95,73
05000916584;11/07/2021;19,11
05000916584;03/07/2021;44,23
05000916584;30/07/2021;18,02
05000916584;25/06/2021;100,03
05000916584;24/06/2021;11,87
05000916584;06/07/2021;173,28
05000916584;11/07/2021;93,23
05000916584;13/07/2021;187,28
05000916584;22/06/2021;190,83
05000916584;15/06/2021;12,28
05000916584;12/06/2021;85,77
05000916584;15/07/2021;1,67
05000916584;02/06/2021;176,98
05000916185;25/06/2021;168,68
05000916185;24/07/2021;139,29
05000916185;21/07/2021;67,22
05000916185;20/07/2021;130,40
05000916185;08/06/2021;133,90
05000916185;17/06/2021;137,98
05000916185;23/06/2021;20,66
05000916185;03/06/2021;45,27
05000916185;26/06/2021;40,78
